         187737016 function calls (186985993 primitive calls) in 30.155 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1064168    0.125    0.000    0.358    0.000 /home/anon/work/bgpy_pkg/bgpy/as_graphs/base/as_graph/base_as.py:99(stub)
 45606374    0.342    0.000    0.342    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/enum.py:807(value)
        1    0.313    0.313    0.313    0.313 /home/anon/work/bgpy_pkg/bgpy/simulation_engines/cpp_simulation_engine/cpp_simulation_engine.py:27(__init__)
  1182604    0.034    0.000    0.307    0.000 /home/anon/work/bgpy_pkg/bgpy/as_graphs/base/links/link.py:16(__hash__)
        4    0.098    0.024    0.305    0.076 /home/anon/work/bgpy_pkg/bgpy/as_graphs/base/as_graph/as_graph.py:204(etc_no_ixp_filter)
  1976390    0.232    0.000    0.297    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/random.py:239(_randbelow_with_getrandbits)
        4    0.096    0.024    0.293    0.073 /home/anon/work/bgpy_pkg/bgpy/as_graphs/base/as_graph/as_graph.py:190(stub_no_ixp_filter)
        2    0.038    0.019    0.269    0.134 /home/anon/work/bgpy_pkg/bgpy/as_graphs/base/as_graph_info.py:20(__post_init__)
        4    0.074    0.018    0.222    0.055 /home/anon/work/bgpy_pkg/bgpy/as_graphs/base/as_graph/as_graph.py:196(stubs_or_multihomed_no_ixp_filter)
  1064168    0.218    0.000    0.218    0.000 /home/anon/work/bgpy_pkg/bgpy/as_graphs/base/as_graph/base_as.py:123(neighbors)
    47072    0.055    0.000    0.206    0.000 /home/anon/work/bgpy_pkg/bgpy/as_graphs/base/as_graph/as_graph.py:205(<genexpr>)
   110912    0.045    0.000    0.195    0.000 /home/anon/work/bgpy_pkg/bgpy/as_graphs/base/as_graph/as_graph.py:191(<genexpr>)
       60    0.120    0.002    0.185    0.003 /home/anon/work/bgpy_pkg/bgpy/simulation_frameworks/py_simulation_framework/scenarios/scenario.py:191(_get_victim_asns)
   924096    0.159    0.000    0.172    0.000 /home/anon/work/bgpy_pkg/bgpy/as_graphs/base/links/customer_provider_link.py:32(asns)
