         187737016 function calls (186985993 primitive calls) in 30.155 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1072    0.000    0.000    0.000    0.000 {built-in function _thread.get_ident}
      180    0.000    0.000    0.000    0.000 {method 'to_bytes' of 'int' objects}
      240    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/ipaddress.py:415(_check_int_address)
        6    0.000    0.000    0.000    0.000 {built-in function posix.stat}
      234    0.000    0.000    0.000    0.000 /home/anon/work/pypy_env/lib/pypy3.10/site-packages/frozendict/core.py:69(__hash__)
        9    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/pathlib.py:569(_parse_args)
        2    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/datetime.py:1722(utcnow)
      821    0.000    0.000    0.000    0.000 {built-in function _imp.release_lock}
        2    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/datetime.py:1711(utcfromtimestamp)
      240    0.000    0.000    0.000    0.000 /home/anon/work/bgpy_pkg/bgpy/simulation_frameworks/py_simulation_framework/scenarios/scenario.py:360(_default_non_adopters)
        2    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/datetime.py:1657(_fromtimestamp)
       60    0.000    0.000    0.000    0.000 /home/anon/work/bgpy_pkg/bgpy/simulation_frameworks/py_simulation_framework/scenarios/scenario.py:84(<dictcomp>)
        2    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/datetime.py:938(strftime)
        3    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/pathlib.py:1285(exists)
     1072    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        2    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/pathlib.py:1432(expanduser)
       12    0.000    0.000    0.000    0.000 /home/anon/work/bgpy_pkg/bgpy/simulation_frameworks/py_simulation_framework/utils.py:9(get_all_metric_keys)
        5    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/pathlib.py:589(_from_parts)
       60    0.000    0.000    0.000    0.000 /home/anon/work/bgpy_pkg/bgpy/simulation_frameworks/py_simulation_framework/scenarios/scenario.py:171(_get_possible_attacker_asns)
      180    0.000    0.000    0.000    0.000 /home/anon/work/bgpy_pkg/bgpy/simulation_frameworks/py_simulation_framework/metric_tracker/metric.py:27(<dictcomp>)
        6    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/datetime.py:1588(__new__)
      480    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
        2    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/pathlib.py:1111(open)
      540    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
      480    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
        9    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/pathlib.py:56(parse_parts)
        3    0.000    0.000    0.000    0.000 {built-in function posix.mkdir}
       60    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/_pypy_generic_alias.py:33(__parameters__)
        4    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/pathlib.py:853(__truediv__)
       11    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/pathlib.py:631(__fspath__)
        4    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/pathlib.py:615(_make_child)
      124    0.000    0.000    0.000    0.000 {built-in function _thread.allocate_lock}
        2    0.000    0.000    0.000    0.000 {built-in function _io.open}
      134    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        2    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/datetime.py:2110(__sub__)
        1    0.000    0.000    0.000    0.000 /home/anon/work/bgpy_pkg/bgpy/simulation_frameworks/py_simulation_framework/py_simulation.py:149(_get_chunks)
        2    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/datetime.py:1766(timetuple)
      256    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/_sha512.py:23(<lambda>)
        3    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/pathlib.py:957(__new__)
        3    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/pathlib.py:1300(is_dir)
       12    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/pathlib.py:621(__str__)
      160    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/_sha512.py:21(<lambda>)
        6    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/os.py:675(__getitem__)
        2    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/posixpath.py:229(expanduser)
        1    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/pathlib.py:995(home)
        2    0.000    0.000    0.000    0.000 /home/anon/work/bgpy_pkg/bgpy/as_graphs/base/as_graph_collector.py:27(run)
      242    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        2    0.000    0.000    0.000    0.000 /home/anon/work/bgpy_pkg/bgpy/as_graphs/caida_as_graph/caida_as_graph_collector.py:17(_run)
        2    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/datetime.py:162(_build_struct_time)
      180    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/ipaddress.py:792(prefixlen)
      160    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/_sha512.py:20(<lambda>)
      120    0.000    0.000    0.000    0.000 {method 'copy' of 'frozenset' objects}
        2    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/datetime.py:2091(__add__)
        2    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/datetime.py:207(_wrap_strftime)
        4    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/datetime.py:468(__new__)
      108    0.000    0.000    0.000    0.000 /home/anon/work/bgpy_pkg/bgpy/as_graphs/base/as_graph/propagation_rank_funcs.py:30(<genexpr>)
        2    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/_sha512.py:249(__init__)
        2    0.000    0.000    0.000    0.000 /home/anon/work/bgpy_pkg/bgpy/as_graphs/caida_as_graph/caida_as_graph_constructor.py:83(_extract_input_clique_asns)
        2    0.000    0.000    0.000    0.000 /home/anon/work/bgpy_pkg/bgpy/as_graphs/caida_as_graph/caida_as_graph_constructor.py:93(_extract_ixp_asns)
        2    0.000    0.000    0.000    0.000 {built-in function time.gmtime}
       60    0.000    0.000    0.000    0.000 /home/anon/work/bgpy_pkg/bgpy/simulation_frameworks/py_simulation_framework/scenarios/scenario.py:400(pre_aggregation_hook)
        2    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/datetime.py:1844(replace)
       60    0.000    0.000    0.000    0.000 {built-in function iter}
        6    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/os.py:755(encode)
        2    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/_collections_abc.py:821(get)
        3    0.000    0.000    0.000    0.000 /home/anon/work/bgpy_pkg/bgpy/simulation_frameworks/py_simulation_framework/utils.py:14(<listcomp>)
        2    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       60    0.000    0.000    0.000    0.000 {built-in function next}
        4    0.000    0.000    0.000    0.000 /home/anon/work/bgpy_pkg/bgpy/as_graphs/base/as_graph/as_graph.py:256(__len__)
        2    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/_collections_abc.py:828(__contains__)
       60    0.000    0.000    0.000    0.000 /home/anon/work/bgpy_pkg/bgpy/simulation_frameworks/py_simulation_framework/scenarios/scenario.py:406(post_propagation_hook)
        8    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        5    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/pathlib.py:608(_format_parsed_parts)
        2    0.000    0.000    0.000    0.000 {method 'seed' of 'Random' objects}
        2    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/_sha512.py:152(sha_update)
        1    0.000    0.000    0.000    0.000 /home/anon/work/bgpy_pkg/bgpy/simulation_frameworks/py_simulation_framework/py_simulation.py:163(<listcomp>)
        2    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/datetime.py:641(__neg__)
       71    0.000    0.000    0.000    0.000 /home/anon/work/pypy_env/lib/pypy3.10/site-packages/frozendict/core.py:66(__init__)
        2    0.000    0.000    0.000    0.000 {built-in function time.strftime}
       10    0.000    0.000    0.000    0.000 {method '__setattr__' of 'ASGraphInfo' objects}
       60    0.000    0.000    0.000    0.000 /home/anon/work/bgpy_pkg/bgpy/simulation_frameworks/py_simulation_framework/metric_tracker/metric_tracker.py:255(_track_trial_metrics_hook)
        2    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/_sha512.py:134(sha_init)
        4    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/datetime.py:392(_check_date_fields)
        4    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/datetime.py:405(_check_time_fields)
       11    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/pathlib.py:239(splitroot)
        4    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/pathlib.py:600(_from_parsed_parts)
        2    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/datetime.py:2210(_normalize_datetime)
       15    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/enum.py:452(<genexpr>)
        2    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/datetime.py:69(_ymd2ord)
        2    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/_sha512.py:9(new_shaobject)
        6    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/os.py:759(decode)
        2    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/codecs.py:309(__init__)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       16    0.000    0.000    0.000    0.000 {built-in function sys.intern}
        4    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/datetime.py:64(_days_before_month)
        6    0.000    0.000    0.000    0.000 {built-in function round}
        4    0.000    0.000    0.000    0.000 /home/anon/work/bgpy_pkg/bgpy/as_graphs/base/as_graph_info.py:37(link_sets)
        3    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/stat.py:50(S_ISDIR)
        1    0.000    0.000    0.000    0.000 /home/anon/work/bgpy_pkg/bgpy/simulation_engines/base/simulation_engine.py:41(__init__)
        3    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/enum.py:448(__iter__)
       20    0.000    0.000    0.000    0.000 {built-in function divmod}
        2    0.000    0.000    0.000    0.000 {built-in function _io.text_encoding}
        6    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        4    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/pathlib.py:94(join_parsed_parts)
        2    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/datetime.py:2220(_normalize_date)
       28    0.000    0.000    0.000    0.000 {built-in function _operator.index}
        8    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/datetime.py:57(_days_in_month)
        8    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/datetime.py:2203(_normalize_pair)
        1    0.000    0.000    0.000    0.000 /home/anon/work/bgpy_pkg/bgpy/simulation_frameworks/py_simulation_framework/py_simulation.py:167(<listcomp>)
        2    0.000    0.000    0.000    0.000 {built-in function math.modf}
        1    0.000    0.000    0.000    0.000 /home/anon/work/bgpy_pkg/bgpy/simulation_frameworks/py_simulation_framework/scenarios/scenario_config.py:79(__post_init__)
        2    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/codecs.py:260(__init__)
        9    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
        2    0.000    0.000    0.000    0.000 {built-in function time.time}
       13    0.000    0.000    0.000    0.000 {built-in function posix.fspath}
        2    0.000    0.000    0.000    0.000 /home/anon/work/bgpy_pkg/bgpy/as_graphs/base/as_graph_constructor.py:51(write_tsv)
        4    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/datetime.py:48(_is_leap)
        6    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/datetime.py:422(_check_tzinfo_arg)
        4    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/datetime.py:963(year)
        2    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/datetime.py:52(_days_before_year)
        2    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/posixpath.py:41(_get_sep)
        2    0.000    0.000    0.000    0.000 {built-in function min}
        4    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {method '__new__' of 'type' objects}
        2    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/datetime.py:1997(dst)
        3    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/stat.py:27(S_IFMT)
        4    0.000    0.000    0.000    0.000 {built-in function abs}
        4    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/datetime.py:968(month)
        4    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/datetime.py:973(day)
        4    0.000    0.000    0.000    0.000 <builtin>/frozen _structseq:7(<lambda>)
        2    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/datetime.py:601(days)
        3    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        2    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/datetime.py:1628(hour)
        2    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/datetime.py:1648(tzinfo)
        2    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/datetime.py:1653(fold)
        2    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/datetime.py:606(seconds)
        2    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/datetime.py:1633(minute)
        2    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/datetime.py:611(microseconds)
        2    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/datetime.py:1638(second)
        2    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}


